user_id,Какие изменения произошли с вами после обучения в Нетологии?
3895,
6766458,Нашёл новую работу по новой специальности
5406242,
6776879,Нашёл новую работу по новой специальности
6236039,
6890848,Изменений не произошло
6285589,Нашёл новую работу по новой специальности
5914502,Нашёл новую работу по новой специальности
6661897,Изменений не произошло
6891752,Изменений не произошло
6824901,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6766459,
6801719,
5572672,
6860327,Изменений не произошло
6708295,Изменений не произошло
5736484,
6886385,Нашёл новую работу по новой специальности
5920406,
6072133,
6313154,
6435769,
6541841,
6216765,Изменений не произошло
6632118,
6637812,
6657223,
6691517,
6786963,
6792152,
6798989,
6812350,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6801935,
6806262,
6770444,Изменений не произошло
6750783,Изменений не произошло
6636257,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6396830,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6809153,
6821875,Нашёл новую работу по новой специальности
6815857,
6547585,Изменений не произошло
6816424,
6664439,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6843838,
6844530,
6852511,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6547642,Нашёл новую работу по новой специальности
6861568,Изменений не произошло
6847465,
5787413,Нашёл новую работу по новой специальности
816717,Нашёл новую работу по новой специальности
6855293,
6861390,Нашёл новую работу по новой специальности
6644669,Нашёл новую работу по новой специальности
4880953,
6114095,
6601458,
6625862,
6691921,
6789542,
6805781,
6806702,
6822511,
6863941,Изменений не произошло
6844362,
6850651,
6871001,
6879435,
6883291,
6891937,
6899509,
6901771,
5604264,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6744432,Нашёл новую работу по новой специальности
5420709,
5547111,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6838494,Нашёл новую работу по новой специальности
6086076,
6602129,
6366475,Изменений не произошло
6785480,Изменений не произошло
6602486,
5721979,Изменений не произошло
6802647,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6132669,Изменений не произошло
6710143,
6752375,Нашёл новую работу по новой специальности
6740972,
6760507,
6767547,
6769289,
6796553,
6804286,
6882477,Изменений не произошло
6890131,Изменений не произошло
6890176,Повысили на прежней работе
4937011,
6904042,Другое (что именно)
6907566,Изменений не произошло
6916300,Изменений не произошло
6918081,Изменений не произошло
6920153,Изменений не произошло
6940426,Нашёл новую работу по новой специальности
6721290,
5729818,
6812538,Изменений не произошло
6369473,
6882819,Изменений не произошло
6756986,
6899099,Другое (что именно)
5326724,
6451836,
6405731,Изменений не произошло
6657739,Изменений не произошло
6855182,
5396519,Другое (что именно)
6873237,
6878111,
6892713,
5284292,
6451808,Нашёл новую работу по новой специальности
6481945,Нашёл новую работу по новой специальности
6261661,
6633650,Изменений не произошло
6873568,
6789809,Нашёл новую работу по новой специальности
6850566,Изменений не произошло
6884664,
6901266,
6907107,
6909261,
5539794,
6862811,Изменений не произошло
5608040,
6905173,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
5989346,
6321354,
6708262,Изменений не произошло
6715626,Изменений не произошло
5760396,Изменений не произошло
6517605,
6720504,
6851328,
6853760,
6853977,
6854617,
6858355,
6738427,Изменений не произошло
6895465,Изменений не произошло
6435577,Нашёл новую работу по новой специальности
6589212,Изменений не произошло
6592064,Другое (что именно)
6793668,Другое (что именно)
6835231,Изменений не произошло
6835253,Изменений не произошло
6897744,
6588779,
6653294,
6427150,
6525522,
6559314,
6694959,Нашёл новую работу по новой специальности
6568094,
6570955,
6861107,Изменений не произошло
6595180,
6824058,Нашёл новую работу по новой специальности
6605792,
6614825,
6877250,Нашёл новую работу по новой специальности
6635658,
6888729,Нашёл новую работу по новой специальности
6649595,
6214706,Изменений не произошло
6680574,
6704114,Другое (что именно)
5241473,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6694889,
5959347,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6696972,
6822549,
6562695,Изменений не произошло
6826923,
6681780,Изменений не произошло
6749964,Нашёл новую работу по новой специальности
6805150,Изменений не произошло
6824065,Другое (что именно)
6830438,Нашёл новую работу по новой специальности
43456,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6854446,Нашёл новую работу по новой специальности
5939551,Изменений не произошло
6295536,Другое (что именно)
6317571,Другое (что именно)
6944025,Другое (что именно)
5866251,Изменений не произошло
6425826,Изменений не произошло
6487761,Изменений не произошло
6502916,Изменений не произошло
6855447,
6874882,
6847593,Изменений не произошло
6654372,Изменений не произошло
6888128,
6906906,
6685245,
6704540,Изменений не произошло
5847257,
6381554,
6750502,Нашёл новую работу по новой специальности
6770404,Нашёл новую работу по новой специальности
5353062,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
5628118,Изменений не произошло
5711389,Нашёл новую работу по новой специальности
5793478,Стал фрилансером / нашёл новые проекты
6044612,Другое (что именно)
6406344,
6283666,Изменений не произошло
6298406,Повысили на прежней работе
6781252,Изменений не произошло
6573845,
6825835,
6824780,Изменений не произошло
6824782,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6843416,
6839888,
6841384,
5628593,Изменений не произошло
6660759,
6668332,
5731134,
6758373,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6769679,Нашёл новую работу по новой специальности
6785772,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6706660,
6729267,
6804125,Повысили на прежней работе
6738233,
6272042,
6821594,
6824778,
6874644,
6865639,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6901016,Другое (что именно)
6889639,
6904882,
6310508,
6598950,
6882932,Изменений не произошло
6908190,Изменений не произошло
6701955,
6328464,Усилил свои профессиональные навыки / Стало легче выполнять свою работу
6788305,
6635934,Изменений не произошло
6803172,
6812233,
6812885,
6755128,Нашёл новую работу по новой специальности
